date,open,close,high,low,volume,amount
2022-01-04,6.17,6.27,6.27,6.16,138713.76,
2022-01-05,6.3,6.28,6.41,6.21,240597.7,
2022-01-06,6.24,6.29,6.33,6.21,102598.31,
2022-01-07,6.29,6.3,6.37,6.29,121873.76,
2022-01-10,6.31,6.25,6.31,6.23,91856.0,
2022-01-11,6.26,6.28,6.36,6.24,114004.0,
2022-01-12,6.29,6.26,6.29,6.21,90024.85,
2022-01-13,6.26,6.27,6.39,6.24,115715.62,
2022-01-14,6.25,6.05,6.28,6.03,156923.24,
2022-01-17,6.04,6.06,6.09,6.0,85136.2,
2022-01-18,6.06,6.01,6.08,5.96,87982.99,
2022-01-19,6.0,5.98,6.04,5.95,80969.0,
2022-01-20,5.98,5.89,6.0,5.89,82338.32,
2022-01-21,5.89,5.82,5.9,5.81,77484.37,
2022-01-24,5.82,5.81,5.82,5.75,60422.63,
2022-01-25,5.8,5.54,5.81,5.54,146192.35,
2022-01-26,5.57,5.62,5.65,5.56,67735.08,
2022-01-27,5.61,5.6,5.72,5.57,98862.68,
2022-01-28,5.62,5.7,5.76,5.62,111920.75,
2022-02-07,5.76,5.86,5.86,5.74,107805.0,
2022-02-08,5.86,5.98,5.99,5.83,135067.47,
2022-02-09,5.99,6.02,6.08,5.96,116385.39,
2022-02-10,5.99,6.03,6.05,5.97,79573.01,
2022-02-11,6.05,5.92,6.05,5.9,122000.0,
2022-02-14,5.88,5.93,5.95,5.87,86491.0,
2022-02-15,5.89,5.87,5.94,5.84,85485.4,
2022-02-16,5.9,5.94,5.99,5.9,61933.0,
2022-02-17,5.95,5.9,5.95,5.87,67018.16,
2022-02-18,5.87,5.97,5.98,5.85,63116.71,
2022-02-21,5.95,5.97,6.0,5.94,53005.05,
2022-02-22,5.95,5.89,5.95,5.87,84584.73,
2022-02-23,5.94,5.93,5.94,5.88,57725.22,
2022-02-24,5.91,5.74,5.95,5.69,138583.44,
2022-02-25,5.78,5.91,5.92,5.78,133520.26,
2022-02-28,5.97,5.92,5.98,5.85,112515.37,
2022-03-01,5.95,5.91,5.99,5.89,95819.48,
2022-03-02,5.88,6.03,6.03,5.88,154692.74,
2022-03-03,6.04,6.24,6.24,6.03,308732.74,
