date,open,close,high,low,volume,amount
2022-01-04,4.06,4.11,4.12,4.04,317841.17,
2022-01-05,4.15,4.14,4.17,4.12,352380.67,
2022-01-06,4.11,4.15,4.18,4.11,213391.46,
2022-01-07,4.16,4.22,4.27,4.16,373429.28,
2022-01-10,4.28,4.3,4.34,4.23,479383.59,
2022-01-11,4.31,4.35,4.38,4.29,413692.83,
2022-01-12,4.35,4.36,4.4,4.3,331773.4,
2022-01-13,4.35,4.4,4.45,4.33,374108.27,
2022-01-14,4.38,4.3,4.39,4.28,350915.08,
2022-01-17,4.4,4.35,4.45,4.33,302558.63,
2022-01-18,4.34,4.5,4.55,4.33,639913.44,
2022-01-19,4.52,4.57,4.61,4.46,496166.45,
2022-01-20,4.52,4.54,4.58,4.47,383522.79,
2022-01-21,4.45,4.54,4.56,4.44,350627.7,
2022-01-24,4.54,4.71,4.76,4.49,617409.77,
2022-01-25,4.66,4.49,4.69,4.49,419639.74,
2022-01-26,4.51,4.5,4.54,4.43,207267.96,
2022-01-27,4.5,4.5,4.62,4.46,263589.5,
2022-01-28,4.49,4.38,4.53,4.35,297591.58,
2022-02-07,4.42,4.57,4.6,4.41,384165.02,
2022-02-08,4.57,4.64,4.66,4.52,349876.22,
2022-02-09,4.64,4.59,4.73,4.57,361562.08,
2022-02-10,4.58,4.64,4.64,4.55,247573.79,
2022-02-11,4.6,4.66,4.71,4.59,441234.89,
2022-02-14,4.66,4.49,4.67,4.45,342751.55,
2022-02-15,4.47,4.5,4.57,4.45,279417.34,
2022-02-16,4.53,4.55,4.67,4.52,267201.56,
2022-02-17,4.57,4.52,4.59,4.5,174194.92,
2022-02-18,4.48,4.63,4.64,4.46,254419.77,
2022-02-21,4.63,4.62,4.67,4.57,183736.0,
2022-02-22,4.58,4.59,4.63,4.55,140167.38,
2022-02-23,4.58,4.52,4.59,4.47,225253.1,
2022-02-24,4.52,4.42,4.54,4.38,292146.2,
2022-02-25,4.45,4.42,4.52,4.4,168404.05,
2022-02-28,4.41,4.45,4.46,4.33,196828.3,
2022-03-01,4.45,4.51,4.54,4.42,295230.55,
2022-03-02,4.48,4.59,4.68,4.47,329802.04,
2022-03-03,4.62,4.63,4.68,4.59,196967.72,
2022-03-04,4.62,4.6,4.65,4.5,178346.68,
2022-03-07,4.59,4.58,4.65,4.54,206822.18,
2022-03-08,4.54,4.42,4.58,4.42,228931.01,
2022-03-09,4.44,4.26,4.47,4.11,349111.91,
2022-03-10,4.35,4.3,4.38,4.28,227645.54,
2022-03-11,4.26,4.41,4.45,4.2,289871.66,
2022-03-14,4.35,4.24,4.43,4.23,257726.97,
2022-03-15,4.22,4.0,4.23,3.99,283439.65,
2022-03-16,4.06,4.12,4.15,3.92,285230.0,
2022-03-17,4.16,4.11,4.2,4.09,212784.84,
2022-03-18,4.11,4.2,4.21,4.09,227624.15,
2022-03-21,4.17,4.15,4.19,4.12,165248.84,
2022-03-22,4.13,4.16,4.2,4.09,241428.73,
2022-03-23,4.16,4.13,4.17,4.09,155509.25,
2022-03-24,4.11,4.12,4.17,4.09,155296.42,
2022-03-25,4.12,4.14,4.18,4.1,131180.0,
2022-03-28,4.14,4.23,4.25,4.04,249744.93,
2022-03-29,4.27,4.25,4.29,4.2,254665.99,
2022-03-30,4.3,4.27,4.3,4.2,291416.64,
2022-03-31,4.26,4.4,4.47,4.24,424391.03,
2022-04-01,4.35,4.57,4.57,4.35,405092.9,
2022-04-06,4.56,4.89,4.97,4.52,973493.38,
2022-04-07,4.86,4.79,4.93,4.76,669643.24,
2022-04-08,4.74,4.8,4.83,4.66,443324.4,
2022-04-11,4.73,4.64,4.76,4.61,319373.83,
